=== VTF Upscaler 7.0.0 Log — 2026-02-17 21:44:53 ===

[21:44:53] ⚡ Using cached scan for 736 files (instant)...
[21:44:53] ⊖ Skipped 204 files: 62x already 4096x4096, 21x 4096x2048, 9x mask texture, 3x 2048x4096
[21:44:53] 🔍 Scan done: 532 to upscale (109.8 MB), 204 skipped | batch size: 200
[21:44:53] 📦 Batch 1/3 (200 files)...
[21:44:53] [GPU] [0 NVIDIA GeForce RTX 4080 SUPER]  queueC=2[8]  queueT=1[2]
[21:44:53] [GPU] [0 NVIDIA GeForce RTX 4080 SUPER]  fp16-p/s/u/a=1/1/1/1  int8-p/s/u/a=1/1/1/1  bf16-p/s=1/1
[21:44:53] [GPU] [0 NVIDIA GeForce RTX 4080 SUPER]  subgroup=32(32~32)  ops=1/1/1/1/1/1/1/1/1/1
[21:44:53] [GPU] [0 NVIDIA GeForce RTX 4080 SUPER]  fp16-cm=16x16x16/16x8x16/16x8x8  int8-cm=16x16x32/16x8x32  bf16-cm=16x16x16  fp8-cm=16x16x32
[21:44:53] [GPU] [1 AMD Radeon(TM) Graphics]  queueC=1[2]  queueT=2[1]
[21:44:53] [GPU] [1 AMD Radeon(TM) Graphics]  fp16-p/s/u/a=1/1/1/1  int8-p/s/u/a=1/1/1/1  bf16-p/s=1/0
[21:44:53] [GPU] [1 AMD Radeon(TM) Graphics]  subgroup=64(32~64)  ops=1/1/1/1/1/1/1/1/0/0
[21:44:53] [GPU] [1 AMD Radeon(TM) Graphics]  fp16-cm=0  int8-cm=0  bf16-cm=0  fp8-cm=0
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0000.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0000.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0001.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0001.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0002.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0002.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0003.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0003.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0005.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0005.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0004.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0004.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0007.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0007.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0006.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0006.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0009.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0009.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0008.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0008.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0011.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0011.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0010.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0010.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0013.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0013.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0015.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0015.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0012.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0012.png done
[21:44:54] [GPU] G:\_vtf_scratch\vtf_batch_1_1771364693\input/0014.bmp -> G:\_vtf_scratch\vtf_batch_1_1771364693\output/0014.png done
